Title,Rating,Runtime,Directors,Writers,Stars,Genres,Popularity,Budget,Gross Worldwide,URL
Nicaieri in Africa,7.5,2h 21m,Caroline Link,"Caroline Link, Stefanie Zweig","Juliane Köhler, Merab Ninidze, Matthias Habich, Sidede Onyulo, Lea Kurka, Karoline Eckertz, Gerd Heinz, Hildegard Schmahl, Maritta Horwarth, Regine Zimmermann","German, Period Drama, Biography, Drama, History",N/A,"€7,000,000 (estimated)","$24,322,180",https://www.imdb.com/title/tt0161860/
Palindromuri,6.7,1h 40m,Todd Solondz,Todd Solondz,"Matthew Faber, Angela Pietropinto, Bill Buell, Emani Sledge, Ellen Barkin, Valerie Shusterov, Richard Masur, Hillary B. Smith, Danton Stone, Robert Agri","Dark Comedy, Satire, Comedy, Drama",N/A,N/A,"$809,686",https://www.imdb.com/title/tt0362004/
S-a născut o stea,7.5,2h 34m,George Cukor,"Writers, Moss Hart, Dorothy Parker, Alan Campbell, ","Judy Garland, James Mason, Jack Carson, Charles Bickford, Tommy Noonan, Lucy Marlow, Amanda Blake, Irving Bacon, Hazel Shermet, James Brown","Classic Musical, Tragic Romance, Drama, Musical, Romance",N/A,"$5,019,770 (estimated)","$4,350,001",https://www.imdb.com/title/tt0047522/
Suite Française,7.0,1h 47m,Saul Dibb,"Saul Dibb, Matt Charman, Irène Némirovsky","Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon, Deborah Findlay, Ruth Wilson, Sam Riley, Vincent Doms, Simon Dutton, Diana Kent","Tragic Romance, Drama, History, Romance, Thriller, War",N/A,"€15,000,000 (estimated)","$9,337,930",https://www.imdb.com/title/tt0900387/
Five Minutes of Heaven,6.5,1h 29m,Oliver Hirschbiegel,Guy Hibbert,"Mark Ryder, Diarmuid Noyes, Niamh Cusack, Mathew McElhinney, Conor MacNeill, Paul Garrett, Kevin O'Neill, Gerard Jordan, Paula McFetridge, Gerry Doherty","Drama, Thriller",N/A,N/A,"$364,355",https://www.imdb.com/title/tt1238291/
Being Julia,7.0,1h 44m,István Szabó,"W. Somerset Maugham, Ronald Harwood","Michael Gambon, Annette Bening, Leigh Lawson, Shaun Evans, Mari Kiss, Jeremy Irons, Ronald Markham, Terry Sach, Catherine Charlton, Juliet Stevenson","Romantic Comedy, Comedy, Drama, Romance",N/A,"$18,000,000 (estimated)","$14,339,171",https://www.imdb.com/title/tt0340012/
A Dirty Shame,5.1,1h 29m,John Waters,John Waters,"Tracey Ullman, Johnny Knoxville, Selma Blair, Chris Isaak, Suzanne Shepherd, Mink Stole, Patricia Hearst, Jackie Hoffman, Nick Noble, Lucy Newman-Williams","Raunchy Comedy, Satire, Comedy",N/A,"$15,000,000 (estimated)","$1,914,166",https://www.imdb.com/title/tt0365125/
Vacanta,7.7,1h 35m,George Cukor,"Donald Ogden Stewart, Sidney Buchman, Philip Barry","Katharine Hepburn, Cary Grant, Doris Nolan, Lew Ayres, Edward Everett Horton, Henry Kolker, Binnie Barnes, Jean Dixon, Henry Daniell, Harry Allen","Holiday Romance, Romantic Comedy, Screwball Comedy, Comedy, Romance",N/A,N/A,"$15,852",https://www.imdb.com/title/tt0030241/
Du levande,7.4,1h 35m,Roy Andersson,Roy Andersson,"Elisabeth Helander, Jörgen Nohall, Jan Wikbladh, Björn Englund, Birgitta Persson, Lennart Eriksson, Jessika Lundberg, Eric Bäckman, Rolf Engström, Jessica Nilsson","Swedish, Dark Comedy, Comedy, Drama, Music",N/A,N/A,"$1,843,810",https://www.imdb.com/title/tt0445336/
Dostana,6.4,2h 25m,"Punit Malhotra, Tarun Mansukhani","Anvita Dutt, Tarun Mansukhani","Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas, Kirron Kher, Bobby Deol, Boman Irani, Sushmita Mukherjee, Eduardo M. Freyre, Liannette Altuve, Steven Baker","Hindi, Buddy Comedy, Romantic Comedy, Comedy, Drama, Romance",N/A,"$5,000,000 (estimated)","$17,779,520",https://www.imdb.com/title/tt1185420/
Urletul,6.6,1h 24m,"Rob Epstein, Jeffrey Friedman","Rob Epstein, Jeffrey Friedman, Allen Ginsberg","James Franco, Todd Rotondi, Jon Prescott, Aaron Tveit, David Strathairn, Jon Hamm, Andrew Rogers, Bob Balaban, Mary-Louise Parker, Heather Klar","Biography, Drama, Romance",N/A,N/A,"$1,614,810",https://www.imdb.com/title/tt1049402/
Cadillac Man,5.7,1h 37m,Roger Donaldson,Ken Friedman,"Robin Williams, Tim Robbins, Pamela Reed, Fran Drescher, Zack Norman, Lori Petty, Annabella Sciorra, Paul Guilfoyle, Bill Nelson, Eddie Jones","Dark Comedy, Comedy, Crime",N/A,N/A,"$27,627,310",https://www.imdb.com/title/tt0099204/
Intoleranță,7.7,2h 43m,D.W. Griffith,"Writers, D.W. Griffith, Anita Loos, Hettie Grey Baker, ","Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse, Vera Lewis, Mary Alden, Eleanor Washington, Pearl Elmore, Lucille Browne","Action Epic, Epic, Historical Epic, Drama, History",N/A,"$385,907 (estimated)",N/A,https://www.imdb.com/title/tt0006864/
Chasseurs de dragons,6.5,1h 20m,"Guillaume Ivernel, Arthur Qwak","Frédéric Engel Lenoir, Arthur Qwak","Vincent Lindon, Patrick Timsit, Philippe Nahon, Amanda Lear, Marie Drion, Jérémy Prévost, Jean-Marc Lentretien, Jeff Bennett, John DiMaggio, Elias Eliot","Computer Animation, Action, Adventure, Animation, Comedy, Family, Fantasy",N/A,"€11,000,000 (estimated)","$12,389,088",https://www.imdb.com/title/tt0944834/
Cer si pamant,6.8,2h 20m,Oliver Stone,"Writers, Le Ly Hayslip, Jay Wurts, James Hayslip, ","Haing S. Ngor, Bussaro Sanruck, Supak Pititam, Joan Chen, Thuan K. Nguyen, Hiep Thi Le, Lan Nguyen Calderon, Thuan Le, Dustin Nguyen, Mai Le Ho","Docudrama, Period Drama, Tragedy, Action, Biography, Drama, History, War",N/A,"$33,000,000 (estimated)","$5,864,949",https://www.imdb.com/title/tt0107096/
Joc dublu,6.5,1h 50m,Peter Medak,Hilary Henkin,"Gary Oldman, Wallace Wood, Juliette Lewis, David Proval, Will Patton, Gene Canfield, Larry Joshua, Michael Wincott, Lena Olin, William Duff-Griffin","Dark Comedy, Crime, Drama, Romance",N/A,"$11,500,000 (estimated)","$3,275,585",https://www.imdb.com/title/tt0107983/
Guzaarish,7.4,2h 6m,Sanjay Leela Bhansali,"Writers, Sanjay Leela Bhansali, Bhavani Iyer, Vibhu Puri, ","Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna","Hindi, Drama, Romance",N/A,N/A,"$7,564,310",https://www.imdb.com/title/tt1438298/
Pamant si apa,7.2,1h 45m,"Jackie Chan, Sammo Kam-Bo Hung","Jackie Chan, Edward Tang","Jackie Chan, Sammo Kam-Bo Hung, Biao Yuen, Dick Wei, Mars, Isabella Wong, Tai-Bo, Hoi-Sang Lee, Hoi-San Kwan, Wai Wong","Cantonese, Kung Fu, Martial Arts, Slapstick, Action, Adventure, Comedy",N/A,N/A,N/A,https://www.imdb.com/title/tt0085127/
