Rating,Popularity,Runtime (minutes),ROI,directors_freq,writers_freq,stars_freq,genres_freq
8.2,169.0,107,16.8201608,0.0021231422505307855,0.001042456406368461,0.0030942846741900255,54.522167487684726
7.2,317.0,142,8.91308485897436,0.0007077140835102619,0.002084912812736922,0.0025254823443756824,38.67487684729064
7.9,753.0,126,4.1842589071428575,0.001887237556027365,0.0005686125852918878,0.004209137240626138,27.31527093596059
8.2,973.0,100,10.017425106382978,0.0021231422505307855,0.0011372251705837756,0.0031852930469603202,35.66009852216749
8.3,1351.0,131,14.845119446153847,0.0007077140835102619,0.0024639878695981803,0.00257098653076083,6.783251231527093
8.7,343.0,133,36.37660233333333,0.0023590469450342063,0.00047384382107657316,0.0012968693119767018,37.13793103448276
8.0,471.0,121,4.54911985882353,0.0007077140835102619,0.0008529188779378317,0.0036630870040043682,43.66502463054187
8.2,412.0,103,4.401978533333334,0.0028308563340410475,0.000758150113722517,0.0022524572260647978,59.0935960591133
8.3,354.0,108,3.6534334,0.0016513328615239443,0.0012319939347990902,0.004732435384055333,48.65024630541872
8.3,956.0,96,4.200594022857143,0.0009436187780136825,0.001516300227445034,0.0018656716417910447,65.69950738916256
8.3,482.0,99,2.4506125,0.0025949516395376267,0.001800606520090978,0.0036630870040043682,25.733990147783253
8.4,560.0,115,21.662553944444443,0.006841236140599198,0.0031273692191053828,0.002798507462686567,22.17241379310345
8.0,854.0,124,3.9683455,0.00754895022410946,0.002084912812736922,0.002502730251183109,27.635467980295566
8.5,674.0,88,21.759141622222224,0.0021231422505307855,0.0012319939347990902,0.0031625409537677468,47.935960591133004
8.0,1508.0,120,25.227424133333333,0.0028308563340410475,0.0008529188779378317,0.0012741172187841281,53.76847290640394
7.8,667.0,169,5.6525221722222225,0.003066761028544468,0.0027482941622441245,0.001911175828176192,14.645320197044335
8.3,751.0,81,13.3719323,0.0011795234725171032,0.0018953752843062926,0.0029122679286494356,39.556650246305416
8.2,313.0,127,17.529840095238097,0.006841236140599198,0.003601213040181956,0.0040271204950855476,37.50738916256157
8.2,177.0,122,6.86540044,0.008020759613116301,0.003980288097043215,0.004004368401892974,55.42857142857143
8.2,554.0,135,5.461918224137931,0.004953998584571833,0.0014215314632297195,0.0043456497997815795,44.389162561576356
8.4,114.0,146,2.528309894736842,0.003066761028544468,0.004927975739196361,0.0015926465234801601,39.94581280788177
7.6,940.0,117,7.0166514307692305,0.0016513328615239443,0.0006633813495072025,0.002320713505642519,41.12315270935961
8.3,193.0,126,22.5933435,0.0033026657230478887,0.0005686125852918878,0.0032535493265380415,45.881773399014776
8.2,436.0,104,11.141148933333334,0.001887237556027365,0.0005686125852918878,0.0005005460502366218,35.81773399014779
8.1,428.0,107,12.2455,0.001887237556027365,0.001516300227445034,0.0024344739716053877,24.714285714285715
8.2,607.0,132,5.130416071428572,0.0023590469450342063,0.002084912812736922,0.0028667637422642883,32.01477832512315
8.1,585.0,92,5.041487330434783,0.0021231422505307855,0.000758150113722517,0.0034810702584637788,38.443349753694584
7.7,478.0,100,13.409401685714286,0.001887237556027365,0.0011372251705837756,0.0033218056061157628,21.64039408866995
7.7,1586.0,91,7.2375337,0.0014154281670205238,0.0003790750568612585,0.002479978157990535,49.66502463054187
8.0,350.0,113,1.2366516666666667,0.0007077140835102619,0.00047384382107657316,0.0022524572260647978,58.46305418719212
8.3,275.0,102,1.642549111111111,0.0014154281670205238,0.000758150113722517,0.0026164907171459775,34.06896551724138
8.1,140.0,149,6.080168180327869,0.0023590469450342063,0.00018953752843062926,0.0026164907171459775,58.40394088669951
8.5,256.0,117,9.935735909090909,0.005425807973578675,0.002084912812736922,0.0035720786312340735,15.502463054187192
7.7,1362.0,138,8.454327420408163,0.0011795234725171032,0.002558756633813495,0.002479978157990535,27.591133004926107
8.1,1541.0,116,8.180552363636364,0.008020759613116301,0.0002843062926459439,0.0017974153622133237,37.0
8.2,637.0,136,12.28872909090909,0.003066761028544468,0.0011372251705837756,0.0010465962868583909,21.049261083743843
7.1,1674.0,130,6.077886025,0.0007077140835102619,0.0019901440485216074,0.005073716781943939,24.019704433497537
8.0,574.0,108,25.401048153846155,0.0014154281670205238,0.0006633813495072025,0.0027530032763014196,47.95073891625616
