Title,Rating,Popularity,Budget,Gross Worldwide,URL,Runtime_minutes,ROI,Director_main,Writer_main,Star_main,Genre_main
Misiune: Imposibilă III,6.9,1856.0,150000000.0,398479497.0,https://www.imdb.com/title/tt0317919/,126,2.65652998,J.J. Abrams,Alex Kurtzman,Tom Cruise,Action
Lunetistul,7.1,1300.0,61000000.0,95696996.0,https://www.imdb.com/title/tt0822854/,124,1.568803213114754,Antoine Fuqua,Stephen Hunter,Mark Wahlberg,One-Person Army Action
Comoara nationala,6.9,2001.0,100000000.0,347512530.0,https://www.imdb.com/title/tt0368891/,131,3.4751253,Jon Turteltaub,Jim Kouf,Nicolas Cage,Quest
Pineapple Express: O afacere riscanta,6.9,2723.0,27000000.0,101624843.0,https://www.imdb.com/title/tt0910936/,111,3.763883074074074,David Gordon Green,Seth Rogen,Seth Rogen,Stoner Comedy
Pumni de otel,7.1,2749.0,110000000.0,299268508.0,https://www.imdb.com/title/tt0433035/,127,2.7206228,Shawn Levy,John Gatins,Hugh Jackman,Boxing
În mintea lui John Malkovich,7.7,1886.0,13000000.0,23106795.0,https://www.imdb.com/title/tt0120601/,113,1.7774457692307692,Spike Jonze,Charlie Kaufman,John Cusack,Body Swap Comedy
Pearl Harbor,6.3,1546.0,140000000.0,449220945.0,https://www.imdb.com/title/tt0213149/,183,3.208721035714286,Michael Bay,Randall Wallace,Ben Affleck,Action Epic
Maleficent,6.9,1304.0,180000000.0,759853685.0,https://www.imdb.com/title/tt1587310/,97,4.221409361111111,Robert Stromberg,Linda Woolverton,Angelina Jolie,Dark Fantasy
Luptatorul,7.9,3020.0,6000000.0,44734660.0,https://www.imdb.com/title/tt1125849/,109,7.455776666666667,Darren Aronofsky,Robert Siegel,Mickey Rourke,Psychological Drama
John Wick,7.5,372.0,20000000.0,86085191.0,https://www.imdb.com/title/tt2911666/,101,4.30425955,Chad Stahelski,Derek Kolstad,Keanu Reeves,Gun Fu
